File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Start to Start Distance From Last Set 1u,Mean Signal 500n,Signal to Noise Ratio 500n,Limit of Detection (nM) 500n,Start to Start Distance From Last Set 500n,Mean Signal 100n,Signal to Noise Ratio 100n,Limit of Detection (nM) 100n,Start to Start Distance From Last Set 100n,Mean Signal 50n,Signal to Noise Ratio 50n,Limit of Detection (nM) 50n,Start to Start Distance From Last Set 50n
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no chip.bmp,4,35,2,Known Concentration,3.139,0.823,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no LED.bmp,4,35,2,Assays,1.749,0.700,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 4A 35mm lens F1.4 10-02 Red Exc no LED.bmp,4,35,2,Known Concentration,1.789,0.711,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,2,Assays,5.437,1.105,4,53.297,16.076,622.027,76.497,23.075,216.689,138,23.897,7.208,138.731,141,8.363,2.523,198.198,138,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,2,Known Concentration,5.656,1.216,4,189.211,51.850,192.864,130.411,35.737,139.911,141,25.944,7.110,140.654,139,7.544,2.067,241.846,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,2,Assays,5.002,0.989,4,29.464,9.926,1007.416,38.464,12.958,385.849,138,14.131,4.761,210.054,139,5.731,1.931,258.964,143,0.000,0.000,0.000,0,0.000,0.000,0.000,0
2sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,2,Known Concentration,5.045,1.412,4,148.489,35.049,285.312,97.555,23.027,217.136,140,20.155,4.757,210.195,140,8.289,1.956,255.561,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
5sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,5,Assays,11.237,2.000,4,113.097,18.848,530.563,139.630,23.270,214.871,140,56.763,9.460,105.711,140,20.497,3.416,146.377,140,0.000,0.000,0.000,0,0.000,0.000,0.000,0
5sec G20 7A 25mm lens F1.4 10-02 Red Exc chip.bmp,7,25,5,Known Concentration,11.296,2.026,4,242.704,39.934,250.411,191.838,31.565,158.404,140,58.038,9.549,104.718,140,16.971,2.792,179.057,141,0.000,0.000,0.000,0,0.000,0.000,0.000,0
5sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,5,Assays,10.121,1.393,4,64.612,15.462,646.760,86.346,20.662,241.985,139,33.879,8.107,123.347,140,17.279,4.135,120.924,139,0.000,0.000,0.000,0,0.000,0.000,0.000,0
5sec G20 7A 35mm lens F1.4 10-02 Red Exc chip.bmp,7,35,5,Known Concentration,9.668,1.441,5,211.066,48.827,204.803,149.199,34.515,144.863,141,48.732,11.274,88.703,138,21.066,4.873,102.601,141,6.532,1.511,66.175,138,0.000,0.000,0.000,0
