File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Left Bottom,17.887,2.284,3,83.987,15.192,130.187,23.549,111,196.253,35.499,112,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Top,18.084,3.704,3,119.253,7.278,194.187,11.851,112,231.453,14.126,113,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Middle,20.053,2.138,3,132.062,21.577,183.929,30.051,112,227.529,37.174,116,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Center Bottom,16.704,2.297,3,107.258,15.419,160.724,23.105,112,214.724,30.868,97,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Top,14.998,1.884,3,81.498,14.189,143.564,24.996,137,199.031,34.653,113,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Middle,16.367,3.176,3,61.747,9.870,119.280,19.067,112,205.013,32.771,98,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Bottom,14.893,1.735,3,71.271,15.823,111.471,24.748,98,159.871,35.493,111,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,17.549,1.902,3,60.147,11.009,117.547,21.515,111,157.213,28.775,112,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,15.787,3.359,3,76.196,5.454,131.262,9.396,112,175.929,12.593,106,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,14.936,1.924,3,62.262,11.934,105.862,20.291,112,143.996,27.600,110,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,11.222,2.656,3,117.404,12.582,188.004,20.148,112,235.604,25.249,111,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,12.651,2.356,3,94.547,11.851,180.947,22.680,99,228.880,28.689,108,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,13.356,2.391,3,87.258,12.977,139.524,20.749,111,207.324,30.832,110,0
