File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Top,14.998,1.884,3,81.498,14.189,70.475,143.564,24.996,200.034,137,199.031,34.653,288.576,113,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Middle,16.367,3.176,3,61.747,9.87,101.315,119.28,19.067,262.236,112,205.013,32.771,305.146,98,0
10-09 35mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,35,5,Right Bottom,14.893,1.735,3,71.271,15.823,63.2,111.471,24.748,202.04,98,159.871,35.493,281.748,111,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,17.549,1.902,3,60.147,11.009,90.836,117.547,21.515,232.397,111,157.213,28.775,347.521,112,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,15.787,3.359,3,76.196,5.454,183.351,131.262,9.396,532.161,112,175.929,12.593,794.101,106,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,14.936,1.924,3,62.262,11.934,83.793,105.862,20.291,246.413,112,143.996,27.6,362.314,110,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,11.222,2.656,3,117.404,12.582,79.48,188.004,20.148,248.166,112,235.604,25.249,396.057,111,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,12.651,2.356,3,94.547,11.851,84.382,180.947,22.68,220.454,99,228.88,28.689,348.57,108,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,13.356,2.391,3,87.258,12.977,77.062,139.524,20.749,240.97,111,207.324,30.832,324.335,110,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Top,7.611,1.313,3,34.169,11.925,83.858,95.102,33.191,150.645,125,146.502,51.129,195.582,97,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Middle,9.062,2.685,3,30.422,7.509,133.175,73.156,18.057,276.908,110,151.422,37.375,267.561,96,0
10-09 ET595_44m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Bottom,7.124,1.479,3,45.027,8.79,113.771,70.627,13.787,362.661,111,130.16,25.408,393.57,111,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Top,31.871,3.055,3,92.12,8.432,118.596,146.987,13.454,371.636,110,194.653,17.817,561.259,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Middle,28.856,2.581,3,111.293,13.48,74.185,150.16,18.187,274.917,111,200.76,24.316,411.252,108,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Left Bottom,27.449,2.461,3,79.48,12.5,79.999,122.08,19.2,260.416,84,189.347,29.779,335.803,124,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Top,20.789,3.781,3,148.262,11.269,88.738,225.462,17.137,291.768,111,234.662,17.836,560.658,110,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Middle,23.853,3.985,3,152.4,11.335,88.226,206.267,15.341,325.927,107,230.133,17.116,584.252,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Center Bottom,24.178,3.604,3,119.271,11.242,88.954,193.738,18.261,273.815,111,230.738,21.748,459.814,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Top,14.784,1.78,3,69.44,11.239,88.974,145.573,23.562,212.207,111,199.84,32.345,309.164,112,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Middle,14.764,2.976,3,59.476,11.286,88.607,162.476,30.831,162.176,94,204.209,38.75,258.066,113,0
10-09 ET600_50m 16mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,16,5,Right Bottom,12.096,1.514,3,77.369,17.364,57.59,132.502,29.738,168.137,112,179.036,40.181,248.873,111,0
